id_bien;id_commune;numero_voie;btq;type_voie;voie;code_postal;surface_carrez;surface_reelle_bati;nombre_pieces_principales;code_type_local
17877;83009;48;;RUE;DE LA REPUBLIQUE;83150;65.69;66;3;2
17878;83034;1;;AV;RICHARD WAGNER;83320;51.22;52;3;2
17879;83069;9;;RUE;FENELON;83400;77.75;77;3;2
17880;83129;412;;CHE;DE POURQUIER;83140;87;86;4;2
17881;85191;11;;RUE;HAXO;85000;54.86;56;2;2
17882;85234;9002;;AV;VALENTIN;85160;55.87;58;3;2
17883;85234;27;;ALL;DES PIGNONS;85160;14.68;14;1;2
17884;85234;31;;AV;DES PAYS DE LA LOIRE;85160;24.49;28;1;2
17885;85234;62;;AV;D OROUET;85160;62.94;68;3;2
17886;87085;27;;AV;DU PDT RENE COTY;87100;37.42;36;2;2
17887;91161;36;;AV;MAZARIN;91380;72.43;72;2;2
17888;91175;46;;RUE;DES MONTCEAUX;91410;19.34;19;1;2
17889;91223;1;;RUE;DE LA PLATRERIE;91150;33.31;33;1;2
17890;91425;26;;PL;DU MARCHE;91310;30.12;31;1;2
17891;91425;6;;GR;GRANDE RUE;91310;150.01;140;4;2
17892;91689;7;;RUE;FERNAND LEGER;91320;62.08;62;3;2
17893;92004;44;;RUE;DE LA SABLIERE;92600;98.95;98;4;2
17894;92051;68;;BD;BOURDON;92200;36.02;40;2;2
17895;92051;85;;RUE;DE VILLIERS;92200;15.81;27;2;2
17896;92073;148;;BD;HENRI SELLIER;92150;52.19;115;5;2
17897;93046;33;;RUE;AMEDEE DUNOIS;93190;82.41;68;3;2
17898;93051;18;;RUE;DE LA REPUBLIQUE;93160;18.35;18;1;2
17899;93064;13;;RUE;DES MYOSOTIS;93110;88.25;89;4;2
17900;94071;1;;ALL;DES BERGES;94370;85.09;83;4;2
17901;94074;15;;RUE;HENRI POURRAT;94460;79.44;72;4;1
17902;94076;90;;RUE;DE CHEVILLY;94800;70.7;69;5;2
17903;95306;30;;RUE;DE CHANTEPUITS;95220;34.43;34;2;2
17904;95351;19;;SQ;DE CHAMBORD;95380;91.85;83;4;1
17905;95500;38;;RUE;DES ETANNETS;95300;33.08;34;2;2
17906;27229;8;B;RUE;DE LA ROCHETTE;27000;18.32;19;1;2
17907;94073;8;;PL;DU MARCHE;94320;71.57;71;3;2
17908;02810;17;;RUE;ALEXANDRE DUMAS;02600;89.56;86;3;2
17909;06074;5515;;;LE VILLAGE;06450;29.47;29;2;2
17910;06085;18;;CHE;SAINT BARTHELEMY;06250;84.14;82;4;2
17911;06088;32;;RUE;L HOTEL POSTES;06000;55.86;63;2;2
17912;11262;28;;BD;MARCEL SEMBAT;11100;47.38;40;2;2
17913;11262;270;;RES;BALCONS D L MEDITERRANEE 2;11100;24.17;25;2;2
17914;13028;9001;;RES;VAL D AZUR;13600;27.11;27;1;2
17915;13201;12;;RUE;FARJON;13001;51.37;52;2;2
17916;14715;8;;RUE;SAINT GERMAIN;14360;48.56;46;2;2
17917;17142;17;B;AV;DE LA LIBERATION;17139;52.44;54;3;1
17918;17300;49;;RUE;DE SUEDE;17000;79.76;79;3;2
17919;26235;18;B;RUE;DES REMPARTS OUEST;26700;56.27;60;3;2
17920;28218;52;;RUE;RENE LANGLOIS;28110;91.95;88;5;2
17921;30133;219;;RTE;DES MARINES;30240;24.52;24;1;2
17922;30140;53;;RUE;DE LA CROIX;30460;87.2;87;4;2
17923;30189;8;;ALL;SERGE LOISEAU;30000;79.89;74;4;2
17924;30189;2;B;RUE;LEVIEUX;30000;32.37;33;2;2
17925;31232;1;;RUE;SAINT JACQUES;31330;53.49;54;2;2
17926;33522;50;;;MISSION HAUT BRION;33400;70.05;69;3;2
17927;34014;46;;IMP;BONNET;34820;50.3;50;3;2
17928;35238;11;C;RUE;VICTOR RAULT;35200;66.4;66;3;2
17929;38151;5;;RUE;DE LA LIBERTE;38130;76.84;75;4;2
17930;38185;9;;RUE;ARAGO;38000;70.69;72;3;2
17931;38191;50;;RUE;DU MAQUIS DE L OISANS;38750;29.83;31;1;2
17932;42187;25;;RUE;DU MAYOLLET;42300;55.77;53;3;2
17933;44135;4;;BD;GENERAL DE GAULLE;44510;77.41;70;3;2
17934;45234;6;;RUE;DE SOLFERINO;45000;62.8;63;3;2
17935;53130;10;B;QUAI;ALBERT GOUPIL;53000;47.7;55;2;2
17936;56034;19;;RUE;DE KERALLAN;56340;42.88;47;3;2
17937;56078;9017;;;LA FALAISE;56520;31.7;32;2;2
17938;59178;531;;BD;DE LA REPUBLIQUE;59500;93.11;92;4;2
17939;59507;2;B;AV;DE LA LIBERATION;59790;56.4;54;3;2
17940;62108;3;;AV;DU GENERAL DE GAULLE;62600;131.24;132;5;2
17941;64122;5;B;RUE;HARISPE;64200;20.6;19;1;2
17942;66017;9001;;RES;LES CABESTANS II;66420;27.51;30;2;2
17943;69259;7;;RUE;DULCIE SEPTEMBER;69200;105.28;83;4;1
17944;69276;9021;;RUE;DU ONZE NOVEMBRE 1918;69320;94.1;90;5;2
17945;69382;27;;CRS;BAYARD;69002;42.25;42;2;2
