id_commune;population_municipale;population_comptee_a_part;population_totale
02195;910;25;935
02196;311;7;318
02197;535;102;637
02198;228;2;230
02199;601;8;609
02200;106;1;107
02201;441;6;447
02203;1282;20;1302
02204;65;2;67
02205;229;3;232
02206;76;3;79
02207;216;3;219
02208;267;6;273
02209;708;11;719
02210;364;6;370
02211;294;3;297
02212;708;11;719
02213;343;2;345
02214;61;1;62
02215;841;6;847
02216;294;4;298
02217;992;9;1001
02218;628;12;640
02219;200;72;272
02220;436;15;451
02221;152;4;156
02222;32;0;32
02223;301;12;313
02224;346;4;350
02225;84;2;86
02226;1863;30;1893
02227;120;1;121
02228;339;6;345
02229;71;0;71
02230;186;6;192
02231;941;9;950
02232;362;10;372
02233;145;8;153
02234;83;1;84
02235;115;3;118
02236;330;3;333
02237;1502;16;1518
02238;1816;31;1847
02239;1244;85;1329
02240;218;3;221
02241;96;3;99
02242;641;11;652
02243;2923;47;2970
02244;63;3;66
02245;1805;35;1840
02246;611;4;615
02248;156;3;159
02249;100;0;100
02250;73;4;77
02251;27;1;28
02252;71;2;73
02253;358;3;361
02254;129;5;134
02255;153;2;155
02256;129;3;132
02257;437;13;450
02258;370;13;383
02259;392;15;407
02260;650;11;661
02261;391;9;400
02262;211;3;214
02263;112;0;112
02264;730;16;746
02265;99;2;101
02266;46;2;48
02267;292;10;302
02268;647;13;660
02269;155;6;161
02270;164;3;167
02271;130;2;132
02272;78;2;80
02273;207;0;207
02274;195;6;201
02275;319;6;325
02276;117;5;122
02277;342;7;349
02278;28;5;33
02279;553;25;578
02280;409;12;421
02281;256;11;267
02282;427;8;435
02283;287;8;295
02284;102;1;103
02286;867;11;878
02287;1048;27;1075
02288;347;8;355
02289;411;11;422
02290;2745;73;2818
02291;410;8;418
02292;1305;28;1333
02293;553;10;563
02294;207;8;215
02295;853;7;860
02296;1197;21;1218
02297;121;2;123
02298;1420;9;1429
02299;546;6;552
02302;321;12;333
02303;680;16;696
02304;2838;135;2973
02305;3001;55;3056
02306;510;9;519
02307;2060;159;2219
02308;476;8;484
02309;671;5;676
02310;248;7;255
02311;120;2;122
02312;1100;10;1110
02313;444;5;449
02315;1669;34;1703
02316;128;5;133
02317;218;4;222
02318;1381;18;1399
02319;490;8;498
02320;237;4;241
02321;901;189;1090
02322;386;3;389
02323;134;3;137
02324;281;3;284
02326;470;8;478
02327;163;1;164
02328;513;6;519
02329;425;9;434
02330;530;7;537
02331;110;3;113
02332;265;4;269
02333;164;0;164
02334;2958;70;3028
02335;183;8;191
02336;983;15;998
02337;168;4;172
02338;252;10;262
02339;690;9;699
02340;5235;74;5309
02341;268;1;269
02342;134;2;136
02343;81;0;81
02345;41;1;42
02346;664;12;676
02347;444;6;450
02349;56;0;56
02350;136;2;138
02351;113;6;119
02352;560;10;570
02353;287;10;297
02354;80;2;82
02355;953;26;979
02356;240;2;242
02357;71;2;73
02358;333;3;336
02359;1301;20;1321
02360;2751;39;2790
02361;4645;78;4723
02362;238;12;250
02363;390;3;393
02364;258;5;263
02366;324;7;331
02367;130;4;134
02368;574;7;581
02369;242;2;244
02370;610;5;615
02371;1578;35;1613
02372;347;10;357
02373;197;5;202
02374;861;9;870
02375;159;3;162
02376;174;5;179
02377;135;8;143
02378;129;5;134
02379;209;123;332
02380;24;1;25
02381;8710;187;8897
02382;1367;39;1406
02383;1452;46;1498
02384;56;2;58
02385;160;3;163
02386;225;2;227
02387;1015;35;1050
02388;225;6;231
02389;659;16;675
02390;264;2;266
02391;206;0;206
02392;311;6;317
02393;141;5;146
02395;141;6;147
02396;64;1;65
02397;1252;20;1272
02398;284;4;288
02399;607;5;612
02400;148;4;152
02401;194;2;196
02402;37;2;39
02403;260;7;267
02404;190;0;190
02405;535;5;540
02406;132;5;137
02407;199;9;208
02408;24304;666;24970
02409;268;4;272
02410;244;10;254
02411;203;4;207
02412;100;1;101
02413;244;4;248
02414;201;5;206
02415;160;4;164
02416;420;10;430
02417;116;0;116
02418;223;4;227
02419;269;9;278
02420;829;11;840
02421;106;1;107
02422;805;10;815
02423;422;8;430
02424;104;0;104
02425;172;3;175
02426;540;10;550
02427;138;1;139
02428;74;2;76
02429;122;1;123
02430;1281;119;1400
02431;383;9;392
02432;189;5;194
02433;221;8;229
02435;79;0;79
02438;249;9;258
02439;1177;20;1197
02440;138;0;138
02441;188;3;191
02442;90;1;91
02443;203;6;209
02444;121;0;121
02445;282;6;288
02446;118;1;119
02447;147;5;152
02448;121;4;125
02449;66;3;69
02450;366;4;370
02451;124;1;125
02452;236;10;246
02453;404;8;412
02454;404;3;407
02455;204;1;205
02456;299;4;303
02457;404;10;414
02458;820;17;837
02459;161;8;169
02460;201;1;202
02461;383;6;389
02462;231;2;233
02463;89;2;91
